es_date,raw_date,btc_volume,btc_price,RSI_6,RSI_9,RSI_15,K_9,D_9
2015-10-15T00:00:00Z,20151015,50.47252634,254.0,45.60284000286046,47.223211802292276,48.38095453000285,0.4177446214620202,0.7109039125583599
2015-10-16T00:00:00Z,20151016,315.03479993,261.02666666666664,46.508199451645346,47.748458009413255,48.685530967838645,0.4666565202302735,0.5170851504390671
2015-10-18T00:00:00Z,20151018,50.27923816,269.195,45.59686411199297,47.21939176080194,48.379456067768864,3.278594259493103,1.387665133728422
2015-10-19T00:00:00Z,20151019,50.33813009,264.35,45.59714866441642,47.21953810890915,48.37953341123832,3.2297396123117026,2.324996797344983
2015-10-21T00:00:00Z,20151021,300.57313700000003,267.90500000000003,47.01034648566777,47.90995632557156,48.72925800773127,34.41612872108378,13.641487530962818
2015-10-22T00:00:00Z,20151022,25.42040518,267.93,45.45242569970043,47.14704887781729,48.343397433056026,31.519991383283052,23.055286572226134
2015-10-23T00:00:00Z,20151023,1025.2369649299999,277.37,52.33954833074368,50.37722460516577,49.88825986522139,64.84591008736287,43.594010063909856
2015-10-24T00:00:00Z,20151024,50.2814416,280.385,45.602133886787534,47.211851275817715,48.37669135226646,34.16218659238238,43.50936268767606
2015-10-25T00:00:00Z,20151025,25.04482754,289.56,45.42052255326537,47.12562361274148,48.336074116828684,34.16218659238238,44.3900944240425
2015-10-26T00:00:00Z,20151026,16025.20680786,284.94,86.45646367738723,77.03800589422254,67.10007989597143,34.162186592382376,34.16218659238234
2015-10-27T00:00:00Z,20151027,50.59859354,292.71000000000004,45.4845618908244,47.10580999136593,48.32508462381894,33.386569806879514,33.90364766388138
2015-10-29T00:00:00Z,20151029,-261.7538000599998,313.72666666666663,44.98435915582507,46.70662046711009,48.04346109763156,33.386569806879514,33.645108735380425
2015-10-30T00:00:00Z,20151030,1277.46722816,323.49,48.34361769116878,49.09799826707715,49.59439924056348,3.203447789363057,23.325529134373983
2015-10-31T00:00:00Z,20151031,104.74692245,318.93,45.787510915441565,47.27957703289442,48.41465521125721,3.9003015901429845,13.496773062128476
2015-11-01T00:00:00Z,20151101,5000.0,325.56,57.13923265599128,55.090496928979974,53.375062575971775,14.66914898638732,7.257632788631078
2015-11-02T00:00:00Z,20151102,91.8072893,335.16,45.64070071997521,47.2021802598275,48.37764740124662,12.242545342317518,10.270665306282565
2015-11-03T00:00:00Z,20151103,44822.29637646,395.24500000000006,83.01671471346677,78.60751556558986,73.03222048945015,44.825788401324736,23.912494243343147
2015-11-04T00:00:00Z,20151104,-11755.408549130001,442.62600000000003,40.622399129462075,42.57312517396347,44.33614421928009,34.056941005080404,30.375091582907505
2015-11-05T00:00:00Z,20151105,50559.59665508,399.59,64.54959622875403,63.375858260233066,61.96993304102174,66.66666666666667,48.51646535769056
2015-11-06T00:00:00Z,20151106,-4668.922514880001,370.166,45.18478055194945,46.559361849257954,47.63913937998115,37.124012646727785,45.94920677282491
2015-11-07T00:00:00Z,20151107,50.29593333,381.945,46.82065785308096,47.88860242669944,48.72473243640512,43.43908044555195,49.07658658631542
2015-11-08T00:00:00Z,20151108,25.03233817,386.13,46.811683355467956,47.88142982589647,48.71893886455959,16.407300993553616,32.32346469527774
2015-11-09T00:00:00Z,20151109,3649.0,380.94,48.51055759111015,49.11143346941638,49.63926421399874,20.856696174067878,26.901025871057772
